rows/crime,rows/difference,rows/end_period1,rows/end_period2,rows/period1_count,rows/period2_count,rows/population,rows/sector,rows/start_period1,rows/start_period2
LESIONES POR ARMA DE FUEGO,4,2022-12,2023-12,5,9,36217,PRADERA,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,4,2022-12,2023-12,24,28,43116,QUETZAL,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,9,2022-12,2023-12,5,14,30408,QUIROGA,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,1,2022-12,2023-12,4,5,4141,REVOLUCION-ALAMEDA,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,-2,2022-12,2023-12,3,1,7814,ROMA,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,-1,2022-12,2023-12,1,0,7894,SAN ANGEL,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,1,2022-12,2023-12,6,7,23185,SAN JERONIMO,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,-7,2022-12,2023-12,14,7,37989,SANTA CRUZ,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,-3,2022-12,2023-12,8,5,40065,SANTA FE,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,1,2022-12,2023-12,1,2,31666,SOTELO,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,-3,2022-12,2023-12,8,5,18220,TACUBA,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,1,2022-12,2023-12,5,6,13102,TACUBAYA,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,-5,2022-12,2023-12,9,4,14638,TAXQUEÑA,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,-1,2022-12,2023-12,2,1,13235,TECOMITL,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,-3,2022-12,2023-12,12,9,25702,TEOTONGO,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,-3,2022-12,2023-12,12,9,43511,TEPEPAN,2022-01,2023-01
